date,uniswap_v2_tvl_usd,sushiswap_tvl_usd
2021-01-31,3618216933,2158688386.0
2021-02-01,3500755127,2320898834.0
2021-02-02,3658982065,2600987964.0
2021-02-03,3843480344,2885105479.0
2021-02-04,4148561079,2945731367.0
2021-02-05,4039302782,3082951702.0
2021-02-06,4234754922,3219550563.0
2021-02-07,4105343242,2930936871.0
2021-02-08,4074800119,3180442391.0
2021-02-09,4399476000,3405816694.0
2021-02-10,4456559492,3389034656.0
2021-02-11,4443714266,3507244464.0
2021-02-12,4634350826,3692730365.0
2021-02-13,4724355570,3520358840.0
2021-02-14,4702321051,3513364429.0
2021-02-15,4678489868,3520651148.0
2021-02-16,4634066331,3532442056.0
2021-02-17,4732096489,3630267495.0
2021-02-18,4935794337,3670818821.0
2021-02-19,5071118512,3687204999.0
2021-02-20,5132802563,3678128025.0
2021-02-21,5068598235,3710296943.0
2021-02-22,5185606291,3532067234.0
2021-02-23,4741392386,3028668813.0
2021-02-24,4272318544,3037081953.0
2021-02-25,4545815951,3004179306.0
2021-02-26,4233328424,
2021-02-27,4169057185,
2021-02-28,4218206556,
2021-03-01,4200707766,2944456944.0
2021-03-02,4533387002,3094447183.0
2021-03-03,4384773743,3093214882.0
2021-03-04,4516865446,3286929330.0
2021-03-05,4459202296,3353553652.0
2021-03-06,4451244181,3399516334.0
2021-03-07,4701885181,3663948748.0
2021-03-08,4868903114,3117950593.0
2021-03-09,5081120385,3395279335.0
2021-03-10,5243518497,3490014853.0
2021-03-11,5048669666,3652167163.0
2021-03-12,5173660775,3698475533.0
2021-03-13,5160455980,4448009530.0
2021-03-14,5556419565,4960738655.0
2021-03-15,5476975504,4905847000.0
2021-03-16,5386619026,4677536451.0
2021-03-17,5459679080,4725256892.0
2021-03-18,5521217102,4851233566.0
2021-03-19,5407883704,4725878831.0
2021-03-20,5596956144,4602759710.0
2021-03-21,5607562363,5060711781.0
2021-03-22,5503155805,4708783305.0
2021-03-23,5312276055,4520182857.0
2021-03-24,5186257322,4452155248.0
2021-03-25,5014771845,4092794473.0
2021-03-26,5035320303,4061258967.0
2021-03-27,5399948373,4213882165.0
2021-03-28,5461863072,4267593360.0
2021-03-29,5463472519,4199048083.0
2021-03-30,5715751523,4459097610.0
2021-03-31,5772260679,4541945778.0
2021-04-01,5900709755,4372394105.0
2021-04-02,5987100963,4413834722.0
2021-04-03,6312442296,4697725490.0
2021-04-04,8455530216,4383671552.0
2021-04-05,8799706909,4524048461.0
2021-04-06,8775511756,4606061342.0
2021-04-07,8767014257,4612747586.0
2021-04-08,7809989258,4350283052.0
2021-04-09,8266271546,4537958374.0
2021-04-10,8225566142,4378060628.0
2021-04-11,8464425354,4256259004.0
