date,sushi_usd,uni_usd,eth_usd,comp_usd,link_usd,yfi_usd
2020-09-09,2.3897450209976716,,337.84505193506857,173.72771023445327,11.753657114303257,22405.573582869885
2020-09-10,2.930430513653678,,351.2322670832359,177.84962342982823,12.35561608257508,28543.541984834144
2020-09-11,2.4261501529146887,,367.7879348109583,172.19888621120643,12.533977753461631,33670.029133971664
2020-09-12,2.6331136024177195,,373.9079622546078,173.31186425958688,12.467350869311517,37822.68497270975
2020-09-13,2.585518400981645,,387.72351629002264,180.3211116296477,12.716193873691326,43275.867459580615
2020-09-14,2.2941808941718373,,366.1003526366457,164.22899174557514,12.01627150634827,36727.67576854644
2020-09-15,2.5521707467237644,,376.7815195031208,166.06805641100706,12.135384676690952,39549.516557579576
2020-09-16,1.6977868095803756,,364.35782704589775,154.78267426845954,10.94819522566572,35894.241290641236
2020-09-17,1.5012723275753892,2.9696706531528196,364.9421727930465,153.10631009550426,10.714351848228903,34657.17973831933
2020-09-18,1.6002782637379067,3.443832391414463,389.25362413378,158.25150618185586,11.001507703836374,33156.894061752966
2020-09-19,1.6917094232659817,6.936581422958285,383.17286599152135,153.30007636864104,10.051059626440566,32998.36174787617
2020-09-20,1.7621840153438806,5.756238401444012,385.0389013132142,152.07513671424928,10.124324881923025,30843.04336065928
2020-09-21,1.6322538906538908,5.2565793825170735,370.9678951624775,144.67047075913544,9.747248128291023,27869.92838786227
2020-09-22,1.4262031720739976,4.280880847836521,341.27713087183076,128.6283963337318,8.714207345294419,24011.645082296895
2020-09-23,1.3884836756558514,3.9004596331977894,343.9175471009491,143.93813492294703,8.743948449700568,24980.789496713107
2020-09-24,1.2575036972360771,4.342896875450136,320.01582677971794,127.26622368829746,7.643842266149506,21383.77200365846
2020-09-25,1.4126271313046477,5.163638581412766,348.8210199785493,138.8605082402744,9.83221697387039,25136.003374626278
2020-09-26,1.4133631071828445,4.912126832448479,351.81054998643424,139.5169751183169,10.716493959896875,26825.54331636301
2020-09-27,1.3916331977420067,4.866274764662214,353.8936761662694,144.26753008112632,10.3177566620664,31571.173803452304
2020-09-28,1.3761790071318876,4.8449853913098195,357.0664364067552,139.4316720364252,10.784606578530678,30593.895120688598
2020-09-29,1.2795321606722012,4.25191370645272,354.4295835375506,131.3971634836593,10.239778434874939,28524.21042833156
2020-09-30,1.2436181233543964,4.34148712066533,359.60454842297924,133.06180900813996,10.12656965920447,25028.814567952013
2020-10-01,1.282319959055561,4.1662998255750106,359.3525736951381,133.91370880726387,9.939282280077203,23984.125992069017
2020-10-02,1.2451505039732005,4.196079483325884,353.1978481381707,129.1882228746319,9.564807585203958,22607.102145923775
